fuzzer_id,run_id,iteration_id,add,and,auipc,beq,bge,bgeu,blt,bltu,bne,div,divu,ebreak,ecall,jal,jalr,lb,lbu,lh,lhu,lw,mul,mulh,mulhsu,mulhu,or,rem,remu,sb,sh,sll,slt,sltu,sra,srl,sub,sw,unimp,xor
3506092e-00c1-4a1e-84f2-ca6b290af36a,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3506092e-00c1-4a1e-84f2-ca6b290af36a,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3506092e-00c1-4a1e-84f2-ca6b290af36a,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3506092e-00c1-4a1e-84f2-ca6b290af36a,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3506092e-00c1-4a1e-84f2-ca6b290af36a,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3506092e-00c1-4a1e-84f2-ca6b290af36a,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3506092e-00c1-4a1e-84f2-ca6b290af36a,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3506092e-00c1-4a1e-84f2-ca6b290af36a,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3506092e-00c1-4a1e-84f2-ca6b290af36a,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38fff377-95dd-43e0-be28-cb7ac12da36d,1,1,1203,278,62,20,6,13,0,31,23,0,0,0,30,6,112,6,92,0,0,494,18,0,0,8,686,0,6,26,0,674,0,50,0,691,42,523,0,724
38fff377-95dd-43e0-be28-cb7ac12da36d,1,2,1203,278,62,20,6,13,0,31,23,0,0,0,30,6,112,6,92,0,0,494,18,0,0,8,686,0,6,26,0,674,0,50,0,691,42,523,0,724
38fff377-95dd-43e0-be28-cb7ac12da36d,1,3,1203,278,62,20,6,13,0,31,23,0,0,0,30,6,112,6,92,0,0,494,18,0,0,8,686,0,6,26,0,674,0,50,0,691,42,523,0,724
43d9740d-9993-45eb-8f57-d437111a1bff,1,1,2206,442,322,76,0,73,0,65,55,0,0,0,90,10,602,0,136,0,0,837,18,0,0,8,704,0,0,20,0,722,0,168,4,691,96,852,0,794
43d9740d-9993-45eb-8f57-d437111a1bff,1,2,2206,442,322,76,0,73,0,65,55,0,0,0,90,10,602,0,136,0,0,837,18,0,0,8,704,0,0,20,0,722,0,168,4,691,96,852,0,794
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,1,1,2930,571,483,114,0,91,0,103,125,0,0,0,130,12,904,0,201,7,0,1149,18,0,0,8,759,0,0,20,7,797,0,272,0,691,136,1205,0,846
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,1,2,2922,571,483,115,0,91,0,103,124,0,0,0,130,6,904,0,201,7,0,1134,18,0,0,8,766,0,0,20,7,797,0,272,0,691,136,1201,0,839
